Generation,GA_Cost,PSO_Cost,ACS_Cost,MEAF_Cost
211,2034.7144,0.0000,0.0000,0.0000
212,2034.7144,0.0000,0.0000,0.0000
213,2034.7144,0.0000,0.0000,0.0000
214,2034.7144,0.0000,0.0000,0.0000
215,2034.6953,0.0000,0.0000,0.0000
216,2034.6953,0.0000,0.0000,0.0000
217,2033.6168,0.0000,0.0000,0.0000
218,2033.6168,0.0000,0.0000,0.0000
219,2033.6168,0.0000,0.0000,0.0000
220,2033.5172,0.0000,0.0000,0.0000
221,2033.5172,0.0000,0.0000,0.0000
222,2033.5172,0.0000,0.0000,0.0000
223,2033.3780,0.0000,0.0000,0.0000
224,2033.3780,0.0000,0.0000,0.0000
225,2033.3780,0.0000,0.0000,0.0000
226,2033.3780,0.0000,0.0000,0.0000
227,2033.3780,0.0000,0.0000,0.0000
228,2033.1672,0.0000,0.0000,0.0000
229,2033.1672,0.0000,0.0000,0.0000
230,2033.1672,0.0000,0.0000,0.0000
231,2033.1672,0.0000,0.0000,0.0000
232,2033.1672,0.0000,0.0000,0.0000
233,2032.7292,0.0000,0.0000,0.0000
234,2032.7292,0.0000,0.0000,0.0000
235,2032.5492,0.0000,0.0000,0.0000
236,2032.5492,0.0000,0.0000,0.0000
237,2032.5492,0.0000,0.0000,0.0000
238,2032.3648,0.0000,0.0000,0.0000
239,2032.3648,0.0000,0.0000,0.0000
240,2032.3648,0.0000,0.0000,0.0000
241,2032.2187,0.0000,0.0000,0.0000
242,2031.7860,0.0000,0.0000,0.0000
243,2031.7860,0.0000,0.0000,0.0000
244,2031.7802,0.0000,0.0000,0.0000
245,2031.7802,0.0000,0.0000,0.0000
246,2031.7802,0.0000,0.0000,0.0000
247,2031.5366,0.0000,0.0000,0.0000
248,2031.5366,0.0000,0.0000,0.0000
249,2030.8293,0.0000,0.0000,0.0000
250,2030.8293,0.0000,0.0000,0.0000
251,2029.8392,0.0000,0.0000,0.0000
252,2029.8392,0.0000,0.0000,0.0000
253,2029.8392,0.0000,0.0000,0.0000
254,2029.0177,0.0000,0.0000,0.0000
255,2029.0177,0.0000,0.0000,0.0000
256,2029.0177,0.0000,0.0000,0.0000
257,2029.0177,0.0000,0.0000,0.0000
258,2029.0177,0.0000,0.0000,0.0000
259,2029.0177,0.0000,0.0000,0.0000
260,2029.0177,0.0000,0.0000,0.0000
261,2028.9610,0.0000,0.0000,0.0000
262,2028.8589,0.0000,0.0000,0.0000
263,2028.8589,0.0000,0.0000,0.0000
264,2028.3285,0.0000,0.0000,0.0000
265,2028.3285,0.0000,0.0000,0.0000
266,2028.1231,0.0000,0.0000,0.0000
267,2028.1231,0.0000,0.0000,0.0000
268,2028.0876,0.0000,0.0000,0.0000
269,2028.0876,0.0000,0.0000,0.0000
270,2027.4012,0.0000,0.0000,0.0000
271,2026.9800,0.0000,0.0000,0.0000
272,2026.9800,0.0000,0.0000,0.0000
273,2026.9800,0.0000,0.0000,0.0000
274,2026.7279,0.0000,0.0000,0.0000
275,2026.2276,0.0000,0.0000,0.0000
276,2026.2276,0.0000,0.0000,0.0000
277,2026.2276,0.0000,0.0000,0.0000
278,2026.2276,0.0000,0.0000,0.0000
279,2026.2276,0.0000,0.0000,0.0000
280,2026.2276,0.0000,0.0000,0.0000
281,2026.2276,0.0000,0.0000,0.0000
282,2026.2276,0.0000,0.0000,0.0000
283,2026.2276,0.0000,0.0000,0.0000
284,2026.2276,0.0000,0.0000,0.0000
285,2026.1754,0.0000,0.0000,0.0000
286,2025.9130,0.0000,0.0000,0.0000
287,2025.9130,0.0000,0.0000,0.0000
288,2025.9130,0.0000,0.0000,0.0000
289,2025.9130,0.0000,0.0000,0.0000
290,2025.8466,0.0000,0.0000,0.0000
291,2025.8466,0.0000,0.0000,0.0000
292,2025.8466,0.0000,0.0000,0.0000
293,2025.8466,0.0000,0.0000,0.0000
294,2025.8466,0.0000,0.0000,0.0000
295,2025.8466,0.0000,0.0000,0.0000
296,2025.6232,0.0000,0.0000,0.0000
297,2025.4812,0.0000,0.0000,0.0000
298,2025.2561,0.0000,0.0000,0.0000
299,2025.2561,0.0000,0.0000,0.0000
300,2023.8606,0.0000,0.0000,0.0000
301,2023.8606,0.0000,0.0000,0.0000
302,2023.8606,0.0000,0.0000,0.0000
303,2023.8606,0.0000,0.0000,0.0000
304,2023.8606,0.0000,0.0000,0.0000
305,2023.8606,0.0000,0.0000,0.0000
306,2023.8606,0.0000,0.0000,0.0000
307,2023.8606,0.0000,0.0000,0.0000
308,2023.8425,0.0000,0.0000,0.0000
309,2023.8425,0.0000,0.0000,0.0000
310,2023.6455,0.0000,0.0000,0.0000
311,2023.6455,0.0000,0.0000,0.0000
312,2023.6455,0.0000,0.0000,0.0000
313,2023.6455,0.0000,0.0000,0.0000
